city,lat,lon,date,expected,phase,source,note
Минск,53.9006,27.559,1941-08-01,not_empire,отступление 1941,бриф куратора 26.08.2026 (обязательная проверка),взят 28.06.1941
Киев,50.4501,30.5234,1941-10-01,not_empire,отступление 1941,бриф куратора 26.08.2026 (обязательная проверка),взят 19.09.1941
Москва,55.7558,37.6173,1941-12-01,empire,битва за Москву,бриф куратора 26.08.2026 (обязательная проверка),не был взят
Ленинград,59.9343,30.3351,1942-01-01,empire,блокада,бриф куратора 26.08.2026 (обязательная проверка),"блокада с 08.09.1941, но город советский: коридор через Ладогу"
Севастополь,44.6054,33.522,1942-08-01,not_empire,Крым 1942,бриф куратора 26.08.2026 (обязательная проверка),пал 04.07.1942
Сталинград,48.708,44.5133,1942-11-01,empire,Сталинград,бриф куратора 26.08.2026 (обязательная проверка),город не был взят целиком
Курск,51.7304,36.1926,1943-06-01,empire,Курская дуга,бриф куратора 26.08.2026 (обязательная проверка),освобождён 08.02.1943
Киев,50.4501,30.5234,1943-12-01,empire,возврат 1943,бриф куратора 26.08.2026 (обязательная проверка),освобождён 06.11.1943
Минск,53.9006,27.559,1944-08-01,empire,«Багратион»,бриф куратора 26.08.2026 (обязательная проверка),освобождён 03.07.1944
Варшава,52.2297,21.0122,1945-02-01,empire,Европа 1945,бриф куратора 26.08.2026 (обязательная проверка),взята 17.01.1945
Берлин,52.52,13.405,1945-05-01,empire,Европа 1945,бриф куратора 26.08.2026 (обязательная проверка),"бои в городе с 21.04, капитуляция гарнизона 02.05.1945"
Прага,50.0755,14.4378,1945-06-01,empire,Европа 1945,бриф куратора 26.08.2026 (обязательная проверка),взята 09.05.1945; советские войска до декабря 1945
Харбин,45.8038,126.535,1945-09-01,empire,Дальний Восток 1945,бриф куратора 26.08.2026 (обязательная проверка),взят 20.08.1945
Стокгольм,59.33,18.07,1942-01-01,not_empire,контроль,нейтральная Швеция,в театр не входит
Стокгольм,59.33,18.07,1945-05-09,not_empire,контроль,нейтральная Швеция,
Анкара,39.93,32.86,1942-11-01,not_empire,контроль,нейтральная Турция,
Стамбул,41.01,28.98,1945-05-09,not_empire,контроль,нейтральная Турция,
Тегеран,35.7,51.42,1943-01-01,not_empire,контроль,"Иран: советская зона севернее, сам Тегеран не занят","северный Иран занят с 25.08.1941 - слоя пока нет, см. README"
Токио,35.68,139.69,1945-09-03,not_empire,контроль,капитуляция Японии,
Пекин,39.9,116.41,1945-09-03,not_empire,контроль,советские войска до Пекина не доходили,
Сеул,37.57,126.98,1945-09-03,not_empire,контроль,южнее 38-й параллели - зона США,
Рим,41.9,12.5,1945-05-09,not_empire,контроль,западные союзники,
Париж,48.86,2.35,1945-05-09,not_empire,контроль,западные союзники,
Каир,30.04,31.24,1942-11-01,not_empire,контроль,вне театра,
Улан-Батор,47.89,106.91,1945-09-03,not_empire,контроль,"МНР - союзник, но не территория СССР",сфера влияния показана отдельным слоем
Свердловск,56.84,60.61,1941-12-01,empire,тыл,хроника операций Великой Отечественной войны,
Новосибирск,55.03,82.92,1942-11-01,empire,тыл,хроника операций Великой Отечественной войны,
Владивосток,43.12,131.89,1943-01-01,empire,тыл,хроника операций Великой Отечественной войны,
Ташкент,41.3,69.24,1942-08-01,empire,тыл,хроника операций Великой Отечественной войны,
Алма-Ата,43.24,76.89,1944-01-01,empire,тыл,хроника операций Великой Отечественной войны,
Магадан,59.56,150.8,1941-09-01,empire,тыл,хроника операций Великой Отечественной войны,
Якутск,62.03,129.73,1943-06-01,empire,тыл,хроника операций Великой Отечественной войны,
Челябинск,55.16,61.4,1942-01-01,empire,тыл,хроника операций Великой Отечественной войны,
Вологда,59.22,39.89,1941-12-01,empire,тыл,хроника операций Великой Отечественной войны,
Горький,56.33,44.0,1941-12-01,empire,тыл,хроника операций Великой Отечественной войны,
Куйбышев,53.2,50.15,1942-11-01,empire,тыл,хроника операций Великой Отечественной войны,запасная столица
Саратов,51.53,46.03,1942-11-01,empire,тыл,хроника операций Великой Отечественной войны,
Баку,40.41,49.87,1942-11-01,empire,тыл,хроника операций Великой Отечественной войны,"цель операции «Эдельвейс», взят не был"
Тбилиси,41.72,44.79,1942-11-01,empire,тыл,хроника операций Великой Отечественной войны,
Архангельск,64.54,40.54,1942-01-01,empire,тыл,хроника операций Великой Отечественной войны,
Белосток,53.1325,23.1688,1941-06-22,empire,отступление 1941,хроника операций Великой Отечественной войны,советский с 17.09.1939 по протоколу 04.10.1939
Белосток,53.1325,23.1688,1941-08-01,not_empire,отступление 1941,хроника операций Великой Отечественной войны,взят 27.06.1941 - раньше карта гасила его только в 1945
Рига,56.9496,24.1052,1941-08-01,not_empire,отступление 1941,хроника операций Великой Отечественной войны,взята 01.07.1941
Смоленск,54.7818,32.0401,1941-09-01,not_empire,отступление 1941,хроника операций Великой Отечественной войны,взят 16.07.1941
Таллин,59.437,24.7536,1941-10-01,not_empire,отступление 1941,хроника операций Великой Отечественной войны,взят 28.08.1941
Одесса,46.4825,30.7233,1941-10-01,empire,отступление 1941,хроника операций Великой Отечественной войны,осада: город держался до 16.10.1941 - модель обязана дать красный остров
