1919-11-16,day,Каменец-Подольский,48.68,26.59,left_city,poles,unr,ЕІУ/t4raw_fixed.txt статья «Кам'янець-Подільський»,high,Польские войска вступили в Каменец-Подольский; закончилась «каменецкая доба» УНР (правительство фактически уже покинуло город к 15 ноября); дата на 2 недели раньше начала отрезка - оставлена для контекста
1919-12-02,day,Житомир,50.25,28.66,evacuation,poles,unr,Якубова_Україна_й_українці_в_постімперську_добу_1917_1939/Якубова_Україна_й_українці_в_постімперську_добу_1917_1939.txt (около строки 5750),high,Любарская декларация: правительство УНР объявляет о переходе к партизанской борьбе; политическое руководство и часть войска УНР переходят польско-советскую разграничительную линию; место - район Любара; Житомир взят как ближайший опорный город
1919-12-06,day,Житомир,50.25,28.66,operation_start,unr,,Якубова_.../Якубова_....txt; ЕІУ/t8_fixed.txt статья «Перший Зимовий похід»,high,Начало Первого Зимового похода Армии УНР - рейда по советским и белым тылам; сбор частей в районе Любара/Новой Чорторыи; поход длился до 6 мая 1920 - пройдено 2500 км
1919-12-12,day,Харьков,50.00,36.23,took_city,bolsheviks,whites,укрвики: Харківська операція (грудень 1919),medium,Части 14-й армии РККА вошли в Харьков в ночь на 12 декабря 1919; часть общего наступления против армии Деникина
1919-12-30,day,Екатеринослав,48.45,35.05,took_city,bolsheviks,whites,веб-поиск: gorod.dp.ua «Місто Катеринослав у 1917-1920 рр.»; укрвики «Історія Дніпра»,medium,Красная армия окончательно заняла Екатеринослав; с 1 января 1920 город под властью УССР
1920-02-07,day,Одесса,46.48,30.73,took_city,bolsheviks,whites,укрвики: Одеська евакуація (1920); Історія Одеси (1914-1920),high,41-я стрелковая дивизия РККА вошла в Одессу утром 7 февраля (25 января ст.ст.) 1920; окончательно город занят к середине дня 8 февраля
1920-02-03,day,Одесса,46.48,30.73,evacuation,,whites,укрвики: Одеська евакуація (1920),medium,Морская эвакуация белых частей и части беженцев из Одессы (3-8 февраля 1920 н.ст.); не все успели погрузиться на суда
1920-02,month,Николаев,46.97,32.00,took_city,bolsheviks,whites,веб-поиск (общие обзоры истории Миколаївщини; точная дата не найдена),low,Большевики заняли Николаев в начале февраля 1920 сменив власть деникинцев (с августа 1919); точный день установить не удалось
1920-02,month,Херсон,46.64,32.61,took_city,bolsheviks,whites,ЕІУ/t10_fixed.txt статья «Херсон»,high,В феврале 1920 город заняли большевистские войска после отступления деникинцев; до конца года Херсон на военном положении «красного террора»
1920-04-21,day,Варшава,52.2297,21.0122,treaty,poles,unr,Якубова_.../Якубова_....txt (около строки 5800),high,Варшавский договор (союз Пилсудский-Петлюра): Польша признаёт Директорию УНР верховной властью; граница по Збручу; УНР уступает претензии на Восточную Галицию в обмен на военную помощь против большевиков
1920-05-06,day,Винница,49.23,28.47,operation_end,unr,,ЕІУ/t8_fixed.txt статья «Перший Зимовий похід»,high,Завершение Первого Зимового похода: части Армии УНР соединились с украинско-польским фронтом в районе Ямполя; за 180 дней пройдено 2500 км
1920-05-07,day,Киев,50.45,30.52,took_city,poles,bolsheviks,Якубова_.../Якубова_....txt; укрвики: Київська операція Війська Польського (1920),high,Польские войска (3-я армия) вместе с 6-й дивизией Армии УНР под командованием полк. М. Безручко вошли в Киев 7 мая 1920 по Варшавскому договору
1920-06-12,day,Киев,50.45,30.52,took_city,bolsheviks,poles,Якубова_.../Якубова_....txt (отступление датировано 11 июня); укрвики: Київська операція РСЧА (1920),high,Красная армия (1-я Конная Будённого прорвала фронт южнее Киева 5 июня) вошла в Киев; польско-украинские войска оставили город 11-12 июня 1920
1920-10-04,day,Мариуполь,47.10,37.57,took_city,bolsheviks,wrangel,ЕІУ/Том6_fixed.txt статья «Маріуполь»,high,Советская власть в Мариуполе восстановлена 4 октября 1920 после периода контроля ВСЮР/Врангеля
1920-10-21,day,Каменец-Подольский,48.68,26.59,evacuation,poles,unr,ЕІУ/t2_fixed.txt статья о С. Петлюре,high,Остатки Армии УНР остановленные Красной армией 10 октября 1920 отступают и переходят польскую границу 21 октября 1920 где интернируются; регион Каменца - последняя контролируемая УНР территория
1920-11-13,day,Симферополь,44.95,34.10,took_city,bolsheviks,wrangel,укрвики: Перекопсько-Чонгарська операція,medium,Красная армия заняла Симферополь 13 ноября 1920 в ходе Перекопско-Чонгарской операции против армии Врангеля
1920-11-13,day,Севастополь,44.62,33.53,evacuation,,wrangel,укрвики: Перекопсько-Чонгарська операція; веб-поиск (обзоры Кримської евакуації),medium,Эвакуация Русской армии Врангеля и беженцев (~150 тыс.) морем из портов Крыма (Евпатория Севастополь Ялта Феодосия Керчь) 13-16 ноября 1920 при поддержке французского флота
