1918-11-14,day,Киев,50.45,30.52,operation_start,directory,hetmanate,"~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 2795-2807)",high,"Скоропадский провозгласил грамоту о федерации Украины с Россией; в тот же день Украинский Национальный Союз избрал Директорию (Винниченко, Петлюра, Швец, Макаренко, Андриевский) и объявил вооружённую борьбу против гетманской власти"
1918-12-14,day,Киев,50.45,30.52,took_city,directory,hetmanate,"~/tmp/MATERIALS/ukraina/ЕІУ/t8_fixed.txt:30970; t9_fixed.txt:108186,108221; t10_fixed.txt:22798; t7_fixed.txt:7615 (везде: «14 грудня 1918 зрікся/підписав зречення»); подтверждение у Мазепы: mazepa_t1_ocr_2026-08-12.txt (~строка 2806)",high,"Скоропадский подписал отречение 14 декабря 1918; войска Директории вступили в Киев, гетманат пал"
1918-12-02,day,Одесса,46.48,30.73,operation_start,entente,,"~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3270)",high,"Первый французский военный корабль «Мірабо» прибыл в порт Одессы"
1918-12-10,day,Одесса,46.48,30.73,took_city,directory,germans,"~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3278)",high,"Войска Директории заняли Одессу; небольшая часть города оставалась у русских добровольцев; actor_lost условен - прямая немецкая власть к этому моменту уже фактически ушла"
1918-12-17,day,Одесса,46.48,30.73,left_city,whites,directory,"~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3289-3298)",high,"Французские войска ген. Бориуса высадились в одесском порту и потребовали ухода украинских войск; Директория согласилась; управление городом передано русским добровольцам (В. Шульгин)"
1919-01-13,day,Одесса,46.48,30.73,operation_start,entente,,"~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3300-3311)",high,"В Одессу прибыл штаб французской десантной дивизии во главе с ген. д'Ансельмом; французы отвели украинские части на линию Тирасполь-Бирзула-Вознесенск-Николаев-Херсон"
1918-12,month,Николаев,46.97,32.00,took_city,entente,germans,"~/tmp/MATERIALS/ukraina/ЕІУ/Том6_fixed.txt (~строка 117275: «В грудні 1918 місто захопили війська Антанти»)",medium,"Войска Антанты заняли Николаев после ухода немецкой оккупационной администрации; точный день в тексте не указан"
1918-11-27,day,Полтава,49.59,34.55,took_city,directory,hetmanate,"~/tmp/MATERIALS/ukraina/ЕІУ/t8_fixed.txt (~строка 64661-64664: «Директорія УНР (27 листопада 1918 — 19 січня 1919)»)",high,"Директория УНР сменила гетманскую администрацию в Полтаве"
1919-01-19,day,Полтава,49.59,34.55,took_city,bolsheviks,directory,"~/tmp/MATERIALS/ukraina/ЕІУ/t8_fixed.txt (~строка 64661-64664)",high,"Большевики заняли Полтаву"
1918-11-18,day,Харьков,50.00,36.23,took_city,directory,hetmanate,"~/tmp/MATERIALS/ukraina/ЕІУ/t10_fixed.txt (~строка 41038-41039: «18 листопада 1918 над Х. проголошено владу Директорії»)",high,"Над Харьковом провозглашена власть Директории УНР"
1919-01-03,day,Харьков,50.00,36.23,took_city,bolsheviks,directory,"~/tmp/MATERIALS/ukraina/ЕІУ/t10_fixed.txt (~строка 41039); подтверждение: mazepa_t1_ocr_2026-08-12.txt (~строка 3438-3439)",high,"Красная армия («группа Курского направления») заняла Харьков"
1919-01-12,day,Чернигов,51.49,31.29,took_city,bolsheviks,directory,"~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3439: «а 12. січня Чернигів»)",high,"Большевики заняли Чернигов, наступая по линии Гомель-Чернигов-Киев"
1919-01-16,day,Киев,50.45,30.52,declared_war,directory,bolsheviks,"~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3480-3487)",high,"Директория УНР официально объявила, что Украина находится в состоянии войны с Советской Россией; место условно - резиденция Директории на момент заявления (Киев)"
1918-12-31,month,Екатеринослав,48.45,35.05,took_city,bolsheviks,directory,"~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3070-3090)",high,"На совместном совещании большевиков и Махно (28 декабря) решено взять Екатеринослав хитростью; бои шли три дня и три ночи; точная дата падения не названа, оценка - конец декабря 1918/1 января 1919"
1919-01-02,day,Екатеринослав,48.45,35.05,took_city,directory,bolsheviks,"~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 3094)",high,"Украинские войска (Сечевые стрельцы от. Самокиша, отряд от. Саввы) отбили Екатеринослав; большевики и Махно отступили на левый берег Днепра"
1918-12,month,Херсон,46.64,32.61,took_city,whites,germans,"~/tmp/MATERIALS/ukraina/ЕІУ/t10_fixed.txt (~строка 43506-43508)",medium,"Австро-венгерские войска оставили Херсон (в actor_lost помечено germans - ближайшее значение словаря), в городе появились русские белые добровольцы; вскоре прибыли и части УНР (двоевластие)"
1919-01-31,month,Херсон,46.64,32.61,took_city,entente,whites,"~/tmp/MATERIALS/ukraina/ЕІУ/t10_fixed.txt (~строка 43508-43509)",medium,"Охрана Херсона передана франко-греческим войскам Антанты; точный день не указан - конец января"
1919-02-02,day,Киев,50.45,30.52,evacuation,,directory,"~/tmp/MATERIALS/ukraina/c0072_kyiv_1918_nasylstvo/mazepa_t1_ocr_2026-08-12.txt (~строка 4632-4635)",high,"Директория и правительство УНР покинули Киев; временным центром украинской политической жизни стала Винница"
1919-02-05,day,Киев,50.45,30.52,took_city,bolsheviks,directory,"~/tmp/MATERIALS/ukraina/ЕІУ/t8_fixed.txt (~строка 69785-69786: «5 лютого 1919 вони зайняли Київ»)",high,"Красная армия заняла Киев"
